,LIME,LEMON
PIMA-MLP-0.5,0.069282935214787,0.09316427525798762
PIMA-MLP-1.0,0.06737932063602277,0.07426249683744976
PIMA-MLP-<lambda>,0.24556082545326471,0.2564892183321661
PIMA-RF-0.5,0.1115666296016742,0.10486823700996036
PIMA-RF-1.0,0.10452251184938786,0.1128917550812497
PIMA-RF-<lambda>,0.24660291032387263,0.2590625949977146
BC-MLP-0.5,0.5262529883576568,0.5123629152893425
BC-MLP-1.0,0.6168744566413592,0.37195107104389113
BC-MLP-<lambda>,1.0308513158468426,1.0303518995015142
BC-RF-0.5,0.1708582122334842,0.11303030384079378
BC-RF-1.0,0.2651193944071298,0.13271393134538698
BC-RF-<lambda>,0.3665527185777893,0.37296536620632226
